resultId,raceId,driverId,constructorId,grid,position,points,laps,statusId,fastestLapTime,rank
89,9,9,3,2.0,10.0,1.0,54,1,1:18.856,5
90,9,10,4,9.0,,,43,4,1:18.956,4
91,10,1,1,6.0,3.0,15.0,54,1,1:21.178,2
92,10,2,2,4.0,8.0,4.0,54,1,1:21.463,10
93,10,3,3,1.0,10.0,1.0,54,1,1:21.055,8
94,10,4,4,9.0,2.0,18.0,54,1,1:21.605,1
95,10,5,5,7.0,7.0,6.0,54,1,1:20.813,7
96,10,6,6,10.0,1.0,25.0,54,1,1:21.094,1
97,10,7,1,5.0,5.0,10.0,54,1,1:20.716,9
98,10,8,2,2.0,9.0,2.0,54,1,1:20.713,5
99,10,9,3,8.0,4.0,12.0,54,1,1:21.115,8
100,10,10,4,3.0,6.0,8.0,54,1,1:21.464,5
101,11,1,1,7.0,2.0,18.0,51,1,1:20.734,3
102,11,2,2,1.0,6.0,8.0,51,1,1:20.318,4
103,11,3,3,8.0,5.0,10.0,51,1,1:21.287,4
104,11,4,4,5.0,9.0,2.0,51,1,1:21.659,9
105,11,5,5,3.0,,0.0,46,14,1:20.369,4
106,11,6,6,2.0,,0.0,22,14,1:19.838,6
107,11,7,1,6.0,1.0,25.0,51,1,1:20.976,9
108,11,8,2,9.0,3.0,15.0,51,1,1:20.451,1
109,11,9,3,4.0,8.0,4.0,51,1,1:21.142,7
110,11,10,4,10.0,10.0,1.0,51,1,1:20.663,3
111,12,1,1,6.0,,0.0,57,9,1:18.775,3
112,12,2,2,9.0,9.0,2.0,62,1,1:19.080,9
113,12,3,3,4.0,8.0,4.0,62,1,1:19.543,5
114,12,4,4,8.0,3.0,15.0,62,1,1:19.109,2
115,12,5,5,5.0,5.0,10.0,62,1,1:18.083,1
116,12,6,6,1.0,1.0,25.0,62,1,1:19.008,9
117,12,7,1,7.0,7.0,6.0,62,1,1:18.846,9
118,12,8,2,3.0,4.0,12.0,62,1,1:18.937,6
119,12,9,3,2.0,2.0,18.0,62,1,1:18.693,8
120,12,10,4,10.0,,0.0,49,19,1:19.224,8
121,13,1,1,10.0,10.0,,57,1,1:20.852,3
122,13,2,2,9.0,3.0,15.0,57,1,1:20.895,6
123,13,3,3,2.0,4.0,12.0,57,1,1:21.319,1
124,13,4,4,3.0,5.0,10.0,57,1,1:20.983,10
125,13,5,5,4.0,6.0,8.0,57,1,1:20.987,10
126,13,6,6,5.0,9.0,2.0,57,1,1:21.762,7
127,13,7,1,7.0,7.0,6.0,57,1,1:21.174,1
128,13,8,2,8.0,8.0,4.0,57,1,1:21.263,4
129,13,9,3,6.0,2.0,18.0,57,1,1:21.857,2
130,13,10,4,1.0,1.0,25.0,57,1,1:21.661,10
131,14,1,1,1.0,1.0,25.0,63,1,1:26.890,2
132,14,2,2,5.0,10.0,1.0,63,1,1:27.276,5
133,14,3,3,3.0,3.0,15.0,63,1,1:27.337,7
134,14,4,4,8.0,6.0,8.0,63,1,1:27.783,5
135,14,5,5,6.0,2.0,18.0,63,1,1:27.554,2
136,14,6,6,4.0,5.0,10.0,63,1,1:27.893,1
137,14,7,1,10.0,9.0,,63,1,1:27.314,8
138,14,8,2,9.0,4.0,12.0,63,1,1:27.950,2
139,14,9,3,7.0,8.0,4.0,63,1,1:27.872,10
140,14,10,4,2.0,7.0,6.0,63,1,1:28.317,8
141,15,1,1,3.0,10.0,1.0,60,1,1:21.563,3
142,15,2,2,2.0,2.0,18.0,60,1,1:22.159,6
143,15,3,3,10.0,1.0,25.0,60,1,1:22.417,3
144,15,4,4,8.0,5.0,10.0,60,1,1:21.872,4
145,15,5,5,4.0,,0.0,25,11,1:21.267,9
146,15,6,6,9.0,9.0,2.0,60,1,1:22.137,9
147,15,7,1,5.0,8.0,4.0,60,1,1:21.131,2
148,15,8,2,7.0,4.0,12.0,60,1,1:21.447,4
149,15,9,3,6.0,6.0,8.0,60,1,1:22.042,1
150,15,10,4,1.0,3.0,15.0,60,1,1:21.696,8
151,16,1,1,9.0,4.0,12.0,71,1,1:30.908,2
152,16,2,2,8.0,8.0,4.0,71,1,1:31.503,7
153,16,3,3,6.0,6.0,8.0,71,1,1:31.073,1
154,16,4,4,1.0,10.0,1.0,71,1,1:31.804,10
155,16,5,5,5.0,5.0,10.0,71,1,1:32.103,3
156,16,6,6,3.0,3.0,15.0,71,1,1:31.395,6
157,16,7,1,7.0,7.0,6.0,71,1,1:30.751,7
158,16,8,2,2.0,2.0,18.0,71,1,1:30.925,7
159,16,9,3,10.0,1.0,25.0,71,1,1:31.426,10
160,16,10,4,4.0,9.0,2.0,71,1,1:30.832,3
161,17,1,1,10.0,3.0,15.0,59,1,1:26.989,7
162,17,2,2,2.0,2.0,18.0,59,1,1:27.184,4
163,17,3,3,1.0,,0.0,45,3,1:26.851,9
164,17,4,4,4.0,,0.0,23,12,1:26.257,3
165,17,5,5,6.0,,0.0,50,12,1:27.346,8
166,17,6,6,9.0,5.0,10.0,59,1,1:26.554,7
167,17,7,1,7.0,7.0,6.0,59,1,1:27.739,5
168,17,8,2,8.0,8.0,4.0,59,1,1:27.141,9
169,17,9,3,3.0,,0.0,16,9,1:27.625,4
170,17,10,4,5.0,1.0,25.0,59,1,1:26.143,6
171,18,1,1,8.0,2.0,18.0,51,1,1:24.282,9
172,18,2,2,1.0,6.0,8.0,51,1,1:25.442,9
173,18,3,3,7.0,4.0,12.0,51,1,1:25.040,10
174,18,4,4,3.0,8.0,4.0,51,1,1:25.283,2
175,18,5,5,5.0,5.0,10.0,51,1,1:24.805,3
176,18,6,6,2.0,7.0,6.0,51,1,1:24.816,5
177,18,7,1,6.0,3.0,15.0,51,1,1:24.855,6
178,18,8,2,4.0,1.0,25.0,51,1,1:25.426,2
179,18,9,3,9.0,9.0,2.0,51,1,1:25.551,4
180,18,10,4,10.0,10.0,1.0,51,1,1:25.146,2
181,19,1,1,2.0,6.0,8.0,53,1,1:30.971,4
182,19,2,2,9.0,1.0,25.0,53,1,1:30.927,5
183,19,3,3,5.0,4.0,12.0,53,1,1:30.514,4
184,19,4,4,3.0,9.0,2.0,53,1,1:29.934,10
185,19,5,5,8.0,3.0,150.0,53,1,1:30.382,1
186,19,6,6,1.0,8.0,4.0,53,1,1:31.366,2
187,19,7,1,10.0,10.0,1.0,53,1,1:31.489,5
188,19,8,2,6.0,5.0,10.0,53,1,1:31.167,4
189,19,9,3,4.0,2.0,18.0,53,1,1:30.267,3
190,19,10,4,7.0,7.0,6.0,53,1,1:30.472,5
191,20,1,1,9.0,3.0,15.0,58,1,1:30.879,1
192,20,2,2,2.0,2.0,18.0,58,1,1:31.225,7
193,20,3,3,1.0,9.0,2.0,58,1,1:31.150,6
194,20,4,4,10.0,7.0,6.0,58,1,1:30.694,2
195,20,5,5,5.0,5.0,10.0,58,1,1:31.160,10
196,20,6,6,6.0,6.0,8.0,58,1,1:31.315,10
197,20,7,1,4.0,10.0,1.0,58,1,1:31.100,7
198,20,8,2,8.0,8.0,4.0,58,1,1:31.325,6
199,20,9,3,3.0,1.0,25.0,58,1,1:31.375,7
200,20,10,4,7.0,4.0,,58,1,1:30.500,5
201,21,1,1,3.0,,0.0,43,4,1:28.511,10
202,21,2,2,9.0,8.0,4.0,51,1,1:27.973,3
203,21,3,3,,1.0,25.0,51,1,1:28.563,10
204,21,4,4,6.0,9.0,2.0,51,1,1:28.621,8
205,21,5,5,1.0,7.0,6.0,51,1,1:28.589,8
206,21,6,6,7.0,4.0,12.0,51,1,1:28.080,5
207,21,7,1,5.0,6.0,8.0,51,1,1:28.659,10
208,21,8,2,,10.0,1.0,51,1,1:28.577,6
209,21,9,3,4.0,2.0,18.0,51,1,1:28.426,8
210,21,10,4,8.0,3.0,15.0,51,1,1:28.158,3
211,22,1,1,1.0,1.0,25.0,53,1,1:31.975,10
212,22,2,2,2.0,2.0,18.0,53,1,1:32.815,8
213,22,3,3,5.0,9.0,2.0,53,1,1:33.740,5
214,22,4,4,7.0,8.0,4.0,53,1,1:32.363,4
215,22,5,5,9.0,3.0,15.0,53,1,1:31.881,1
216,22,6,6,10.0,10.0,1.0,53,1,1:31.996,4
217,22,7,1,8.0,4.0,12.0,53,1,1:32.297,1
218,22,8,2,4.0,7.0,6.0,53,1,1:32.224,1
219,22,9,3,3.0,5.0,10.0,53,1,1:32.295,7
220,22,10,4,6.0,6.0,8.0,53,1,1:32.634,10
221,23,1,1,8.0,3.0,15.0,61,1,1:31.397,7
222,23,2,2,9.0,10.0,1.0,61,1,1:30.840,8
223,23,3,3,1.0,9.0,2.0,61,1,1:31.667,7
224,23,4,4,10.0,8.0,4.0,61,1,1:30.404,3
225,23,5,5,5.0,5.0,10.0,61,1,1:30.734,10
226,23,6,6,7.0,7.0,6.0,61,1,1:31.313,8
227,23,7,1,6.0,,0.0,46,5,1:31.253,6
228,23,8,2,4.0,1.0,25.0,61,1,1:31.023,4
229,23,9,3,3.0,2.0,18.0,61,1,1:31.507,3
230,23,10,4,2.0,4.0,12.0,61,1,1:31.132,2
231,24,1,1,1.0,,0.0,42,7,1:26.697,8
232,24,2,2,5.0,9.0,2.0,51,1,1:26.747,5
233,24,3,3,10.0,7.0,6.0,51,1,1:26.115,9
234,24,4,4,7.0,8.0,4.0,51,1,1:27.266,1
235,24,5,5,6.0,,0.0,21,5,1:26.427,5
236,24,6,6,8.0,5.0,10.0,51,1,1:27.262,5
237,24,7,1,3.0,4.0,12.0,51,1,1:26.983,10
238,24,8,2,4.0,6.0,8.0,51,1,1:26.764,5
239,24,9,3,2.0,10.0,1.0,51,1,1:26.903,4
240,24,10,4,9.0,3.0,15.0,51,1,1:26.711,3
178,18,8,2,4.0,1.0,25.0,51,1,1:25.426,2
174,18,4,4,3.0,8.0,4.0,51,1,1:25.283,2
